questions,keywords,lang
Qual EUA estados estamos dentro a mesmo Tempo zona Como Utah? ,"EUA Estado ,  mesmo ,  Tempo zona ,  Utah ",pt
Which U.S. states are in the same time zone as Utah?,"U.S. state, same, time zone, Utah",en
 यूटा के रूप में एक ही समय क्षेत्र में कौन से अमेरिकी राज्य हैं?,"अमेरिका राज्य ,  वही ,  पहर क्षेत्र ,  यूटा ",hi_IN
کدام ایالات ایالات متحده در منطقه زمانی یکسان با یوتا هستند؟,ایالات ایالات متحده، منطقه زمانی، یکسان، یوتا,fa
Quali stati degli Stati Uniti d'America si trovano nello stesso fuso orario dello Utah?,"stato degli Stati Uniti d'America, stesso, fuso orario, Utah",it
Quels états américains sont dans le même fuseau horaire que l'Utah?,"états américains, même fuseau horaire, Utah",fr
Care state americane sunt pe același fus orar ca Utah?,"stat american, același, fus orar, Utah",ro
¿Qué estados americanos se encuentran en la misma zona que Utah?,"estado americano, misma zona horaria, Utah",es
Welke staten van de Verenigde Staten liggen in dezelfde tijdzone als Utah?,"Utah, zelfde tijdzone, staat van de Verenigde Staten",nl
"Gib mir alle Bücher, die Danielle Steel geschrieben hat.","Buch, schreiben, Danielle Steel",de
Дайте меня все книги написано от Danielle Стали. ,"книга ,  написано ,  Danielle Стали ",ru
Dar mim todos livros escrito de Danielle Aço. ,"livro ,  escrito ,  Danielle Aço ",pt
Give me all books written by Danielle Steel.,"book, written, Danielle Steel",en
 मुझे डेनियल स्टील द्वारा लिखी गई सभी किताबें दें।,"किताब ,  लिखा हुआ ,  डेनिएल इस्पात ",hi_IN
تمام کتاب های نوشته شده توسط دانیل استیل را لیست کن.,کتاب های، نوشته، دانیل استیل,fa
Dammi tutti i libri scritti da Danielle Steel.,"libri, scritti, Danielle Steel",it
Donnes-moi tous les livres écrits par Danielle Steel.,"livres, écrits, Danielle Steele",fr
Dă-mi toate cărțile scrise de Danielle Steel.,"carte, scrisă, Danielle Steele",ro
Dame todos los libros escritos por Danielle Steel.,"libors, escritos, Danielle Steel",es
Noem alle boeken van Danielle Steel.,"boek, Danielle Steel",nl
Welches Land hat die meisten Amtssprachen?,"Land, Amtssprache, die meisten",de
Который страна имеет  большинство официальный языки? ,"страна ,  официальный язык ,  большинство ",ru
Qual país tem a a maioria oficial línguas? ,"país ,  oficial língua ,  a maioria ",pt
Which country has the most official languages?,"country, official language, most",en
 किस देश में सबसे अधिक आधिकारिक भाषाएं हैं?,"देश ,  आधिकारिक भाषा ,  अधिकांश ",hi_IN
کدام کشور بیشترین زبان رسمی را دارد؟,کشور، بیشترین، زبان رسمی,fa
Quale stato ha più lingue ufficiali?,"stato, lingue ufficiali, più",it
Quels pays a le plus de langues officielles?,"pays, plus de langues officielles",fr
Ce țară are cele mai multe limbi oficiale?,"șară, limbă oficială, cele mai multe",ro
¿Qué país tiene más idiomas oficiales?,"país, idiomas oficiales, más",es
Welk land heeft de meeste officiële talen.,"land, officiële taal, meeste",nl
Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?,"Männer, Frauen, arbeiten, New York, Berufsfeuerwehr",de
Какие является  Всего количество из люди а также женщины порция в  FDNY? ,"Всего количество ,  люди ,  женщины ,  обслуживать ,  FDNY ",ru
o que é a total montante do homens e mulheres servindo dentro a FDNY? ,"total montante ,  homens ,  mulheres ,  servir ,  FDNY ",pt
What is the total amount of men and women serving in the FDNY?,"total amount, men, women, serve, FDNY",en
एफडीएनवाई में सेवा करने वाले पुरुषों और महिलाओं की कुल राशि क्या है?,"कुल राशि, पुरुषों, महिलाओं, सेवा कर, एफडीएनवाई",hi_IN
تعداد کل مردان و زنان شاغل در سازمان آتش نشانی نیویورک چقدر است؟,تعداد کل، مردان، زنان، شاغل، سازمان آتش نشانی نیویورک,fa
Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?,"totale, uomini, donne, prestare servizio, dipartimento dei vigili del fuoco di New York",it
Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?,"hommes, femmes, sapeurs-pompiers professionnels de New York",fr
Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?,"număr total, bărbați, femei, membri, Departamentul de Pompieri din New York",ro
¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,"hombres, mujeres, bomberos, Nueva York",es
Wat is het totale aantal vrouwen en mannen dat werkt bij de brandweer van New York?,"mannen, vrouwen, brandweer, New York",nl
Welcher Schauspieler hat Chewbacca gespielt?,"Schauspieler, spielen, Chewbacca",de
Который актер играл Чубакка? ,"актер ,  играть ,  Чубакка ",ru
Qual ator reproduziu Chewbacca? ,"ator ,  Toque ,  Chewbacca ",pt
Which actor played Chewbacca?,"actor, play, Chewbacca",en
 चेवबाका के रूप में किस अभिनेता ने अभिनय किया?,"अभिनेता, प्ले, चेवबाका",hi_IN
کدام بازیگر نقش چوباکا را بازی کرد؟,بازیگر، چوباکا، بازی,fa
Quale attore ha recitato il ruolo di Chewbacca?,"attore, recitare il ruolo, Chewbacca",it
Quel acteurs ont joué le role de Chewbacca?,"acteur, Chewbacca",fr
Ce actor l-a jucat pe Chewbacca?,"actor, jucat, Chewbacca",ro
¿Qué actor hizo el papel de Chewbacca?,"actor, papel de Chewbacca",es
Welke acteur heeft Chewbacca gespeeld?,"acteur, spelen, Chewbacca",nl
"Gib mir alle Bibliotheken, die vor 1400 gegründet worden.","Bibliotheken, gegründet, vor 1400",de
Дайте меня все библиотеки установленный ранее чем 1400. ,"библиотеки ,  установленный ,  ранее чем 1400 ",ru
Dar mim todos bibliotecas estabelecido mais cedo do que 1400 ,"bibliotecas ,  estabelecido ,  mais cedo do que 1400 ",pt
Give me all libraries established earlier than 1400.,"libraries, established, earlier than 1400",en
 मुझे 1400 से पहले स्थापित सभी पुस्तकालयों दें।,"पुस्तकालयों, स्थापित, 1400 से पहले",hi_IN
تمام کتاب خانه هایی که قبل از 1400 تأسیس شدند را لیست کن.,کتاب خانه هایی، قبل از 1400، تأسیس,fa
Dammi tutte le biblioteche fondate prima del 1400.,"biblioteche, fondate, prima del 1400",it
Donnes-moi toutes les bibliothèques établies avant 1400.,"bibliothèques, établies, avant 1400",fr
Dă-mi tote bibliotecile înființate înainte de 1400,"biblioteci, înființat, înainte de 1400",ro
Dame todas las bibliotecas que fueron establecidas antes de 1400.,"bibliotecas, establecidas, antes de 1400",es
Geef me alle bibliotheken die voor 1400 werden opgericht.,"bibliotheken, opgericht, voor 1400",nl
Welche Programmiersprachen wurden durch Perl beeinflusst?,"Programmiersprachen, beeinflusst durch, Perl",de
Который программирование языки мы влияние от Perl? ,"программирование языки ,  влияние от ,  Perl ",ru
Qual programação línguas estavam influenciado de Perl? ,"programação línguas ,  influenciado de ,  Perl ",pt
Which programming languages were influenced by Perl?,"programming languages, influenced by, Perl",en
पर्ल द्वारा कौन सी प्रोग्रामिंग भाषा प्रभावित थी?,"प्रोग्रामिंग भाषाओं ,  प्रभावित द्वारा ,  पर्ल ",hi_IN
چه زبان های برنامه نویسی تحت تأثیر پرل بودند؟,زبان های برنامه نویسی، تأثیر، پرل,fa
Quali linguaggi di programmazione sono stati influenzati da Perl?,"linguaggi di programmazione, influenzati, Perl",it
Quels langages de programmation ont été influencés par Perl?,"langages de programmation, influencés par, Perl",fr
Ce limbaje de programare au fost influențate de Perl?,"limbaje de programare, influențat, Perl",ro
¿Qué lenguajes de programación fueron influenciados por el Perl?,"lenguajes de programación, influenciados, Perl",es
Welke programmeertalen werden beïnvloed door Perl?,"programmeertalen, beïnvloed door, Perl",nl
In welchem US-Bundesstaat befindet sich der Mount McKinley?,"US-Staat, befinden, Mount McKinley",de
В который У.С. государство является гора МакКинли располагается? ,"У.С. государство ,  располагается ,  гора МакКинли ",ru
Dentro qual EUA Estado é Monte McKinley localizado? ,"EUA Estado ,  localizado ,  Monte McKinley ",pt
In which U.S. state is Mount McKinley located?,"U.S. state, located, Mount McKinley",en
माउंट मैककिनले किस अमेरिकी राज्य में स्थित है?,"अमेरिका राज्य ,  स्थित ,  पर्वत मैककिनले ",hi_IN
کوه مک کینلی در کدام ایالت ایالات متحده واقع شده است؟,کوه مک کینلی، ایالت ایالات متحده، واقع,fa
In quale stato degli Stati Uniti si trova il Monte McKinley?,"Stati Uniti d'America, trova, Mount McKinley",it
Dans quel état des Etats-Unis d'Amérique se trouve le mont McKinley?,"états, Etats-Unis d'Amérique, trouve, mont McKinley",fr
În ce stat american se află muntele McKinley?,"stat american, aflat, muntele McKinley",ro
¿En qué estado de los estados unidos se encuentra el monte McKinley?,"estado, estados unidos de américa, encuentra, monte McKinley",es
In welke deelstaat van de Verenigde Staten is Mount McKinley gelegen?,"deelstaat, Verenigde Staten, gelegen, Mount McKinley",nl
Welche Fluggesellschaften sind Teil der SkyTeam-Allianz?,"Fluggesellschaften, Teil von, SkyTeam-Allianz",de
Какие авиакомпании находятся часть из  SkyTeam союз? ,"авиакомпании ,  часть из ,  SkyTeam союз ",ru
o que companhias aéreas estamos parte do a Equipa aérea aliança? ,"companhias aéreas ,  parte do ,  Equipa aérea aliança ",pt
What airlines are part of the SkyTeam alliance?,"airlines, part of, SkyTeam alliance",en
स्काईटाम गठबंधन का कौन सा एयरलाइन हिस्सा है?,"विमान सेवाओं ,  अंश का ,  आकाशीय समूह संधि ",hi_IN
چه خطوط هوایی عضو اتحاد اسکایتیم هستند؟,خطوط هوایی، عضو، اتحاد اسکایتیم,fa
Quali compagnie aeree fanno parte dell'alleanza SkyTeam?,"compagnie aeree, alleanza SkyTeam",it
Quels companies aériennes sont membre de l'alliance SkyTeam?,"alliance SkyTeam, companies aériennes, membre",fr
Ce companii aeriene fac parte din alianța SkyTeam?,"companii aeriene, parte din, alianța SkyTeam",ro
¿Qué aerolíneas forman parte del la alianza SkyTeam?,"aerolíneas, alianza SkyTeam",es
Welke luchtvaartmaatschappijen zijn lid van de SkyTeam alliantie?,"luchtvaartmaatschappijen, lid van, SkyTeam alliantie",nl
Welche Schiffe wurden nach Benjamin Franklin benannt?,"Schiff, benannt, Benjamin Franklin",de
Который судов мы называется после Вениамин Франклин? ,"корабль ,  называется после ,  Вениамин Франклин ",ru
Qual navios estavam chamado depois de Benjamin Franklin? ,"navio ,  chamado depois de ,  Benjamin Franklin ",pt
Which ships were called after Benjamin Franklin?,"ship, called after, Benjamin Franklin",en
कौन कौन से जहाजों थे बुलाया बाद बेंजामिन फ्रेंकलिन? ,"समुंद्री जहाज ,  बुलाया बाद ,  बेंजामिन फ्रेंकलिन ",hi_IN
چه کشتی هایی به افتخار بنجامین فرانکلین نام گذاری شدند؟,کشتی هایی، بنجامین فرانکلین، نام گذاری,fa
Quali navi sono state battezzate in onore di Benjamin Franklin?,"navem battezzare, onore, Benjamin Franklin",it
Quels bâteaux portent le nom de Benjamin Franklin?,"bâteaux, nom, Benjamin Franklin",fr
Ce nave au fost numite după Benjamin Franklin?,"navă, numit după, Benjamin Franklin",ro
¿Qué barcos fueron bautizados en honor a Benjamin Franklin?,"barco, bautizado, honor, Benjamin Franklin",es
Welke schepen zijn genoemd naar Benjamin Franklin?,"schip, genoemd naar, Benjamin Franklin",nl
"Gib mir alle Politiker, die Methodisten sind.","Politiker, Methodist",de
Дайте меня все методист политики. ,"политик ,  методист ",ru
Dar mim todos metodista políticos. ,"político ,  metodista ",pt
Give me all Methodist politicians.,"politician, Methodist",en
देना मुझे सब एक क्रिस्तानी पंथ नेताओं। ,"राजनीतिज्ञ ,  एक क्रिस्तानी पंथ ",hi_IN
تمام سیاستمداران متدیست را لیست کن.,سیاستمداران، متدیست,fa
Dammi tutti i politici metodisti.,"politici, metodista",it
Donnes-moi tous les politiciens qui sont méthodistes.,"politiciens, méthodistes",fr
Dă-mi toți politicienii metodiști,"politician, metodist",ro
Dame todos los políticos que sean metodístas.,"políticos, metodístas",es
Geef alle politici die methodist zijn.,"politici, methodist",nl
Welche anderen Bücher wurden vom Autor von Der Fehler unserer Sterne geschrieben? ,"Bücher, Autor, Der Fehler in unseren Sternen",de
Какие Другие книги иметь было написано от  автор из  придираться в наш Звезды? ,"книги ,  автор ,   придираться в наш Звезды ",ru
o que de outros livros ter fui escrito de a autor do o Culpa dentro Nosso Estrelas? ,"livros ,  autor ,  o Culpa dentro Nosso Estrelas ",pt
What other books have been written by the author of The Fault in Our Stars?,"books, author, The Fault in Our Stars",en
क्या अन्य पुस्तकें है गया लिखा हुआ द्वारा  लेखक का  दोष में हमारी सितारे? ,"पुस्तकें ,  लेखक ,   दोष में हमारी सितारे ",hi_IN
چه کتاب های دیگری توسط نویسنده گسل در ستاره های ما نوشته شده اند؟,"کتاب ها, نویسنده, گسل در ستاره های ما",fa
Che cosa altro libri avere stato scritto di il autore di Il Colpa in Nostro Stelle? ,"libri ,  autore ,  Il Colpa in Nostro Stelle ",it
Quelle autre livres avoir été écrit par la auteur de le Faute dans Notre Étoiles? ,"livres ,  auteur ,  le Faute dans Notre Étoiles ",fr
Ce alte cărți avea fost scris de  autor de  eroare în Al nostru Stele? ,"cărți ,  autor ,   eroare în Al nostru stele ",ro
Qué otro libros tener estado escrito por el autor de los Culpa en Nuestra ¿Estrellas? ,"libros ,  autor ,  los Culpa en Nuestra Estrellas ",es
Wat anders boeken hebben geweest geschreven door de auteur van De fout in Onze Stars? ,"boeken ,  auteur ,  De fout in Onze Stars ",nl
Was ist der höchste Berg?,"höchster, Berg",de
Какие является  наибольший горы? ,"гора ,  наибольший ",ru
o que é a maior montanha? ,"montanha ,  maior ",pt
What is the highest mountain?,"mountain, highest",en
क्या है  उच्चतम पर्वत? ,"पर्वत ,  उच्चतम ",hi_IN
بلندترین کوه کدام است؟,بلندترین، کوه,fa
Qual è la montagna più alta?,"montagna, più alta",it
Quelle est la montagne la plus haute?,"montagne, la plus haute",fr
Care este cel mai înalt munte?,"munte, cel mai înalt",ro
¿Cuál es la montaña más alta?,"montaña, más alta",es
Wat is de hoogste berg?,hoogste berg,nl
Welcher Dichter hat die meisten Bücher geschrieben?,"Dichter, Bücher, die meisten",de
Который поэт писал  большинство книги? ,"поэт ,  большинство ,  книги ",ru
Qual poeta escrevi a a maioria livros? ,"poeta ,  a maioria ,  livros ",pt
Which poet wrote the most books?,"poet, most, books",en
कौन कौन से कवि लिखा था  अधिकांश पुस्तकें? ,"कवि ,  अधिकांश ,  पुस्तकें ",hi_IN
کدام شاعر بیشترین کتاب را نوشته است؟,شاعر، بیشترین، کتاب,fa
Quale poeta ha scritto il maggior numero di libri?,"poeta, maggior numero, libri",it
Quel poète a écrit le plus de livres?,"poète, maximum, livres",fr
Ce poet a scris cel mai mare număr de cărți?,"poet, cel mai mare număr, cărți",ro
¿Que poeta ha escrito el mayor número de libros?,"poeta, mayor número, libros",es
Welke dichter heeft de meeste boeken geschreven?,"dichter, meeste boeken",nl
Welche Programmiersprachen haben Javascript beeinflusst?,"Programmiersprachen, beeinflusst, Javascript",de
Который программирование языки влияние Javascript? ,"программирование языки ,  влияние ,  Javascript ",ru
Qual programação línguas influenciado Javascript? ,"programação línguas ,  influenciado ,  Javascript ",pt
Which programming languages influenced Javascript?,"programming languages, influenced, Javascript",en
कौन कौन से प्रोग्रामिंग भाषाओं प्रभावित जावास्क्रिप्ट? ,"प्रोग्रामिंग भाषाओं ,  प्रभावित ,  जावास्क्रिप्ट ",hi_IN
چه زبان های برنامه نویسی بر جاوااسکریپت تأثیر گذاشت؟,زبان های برنامه نویسی، جاوااسکریپت، تأثیر,fa
Quali linguaggi di programmazione hanno influenzato Javascript?,"linguaggi di programmazione, hanno influenzato, Javascript",it
Quels langages de programmation ont influencé Javascript?,"langages de programmation, influencés, Javascript",fr
Ce limbaje de programare au influențat Javascript?,"limbaje de programare, influențat, Javascript",ro
¿Que lenguajes de programación influenciaron el Javascript?,"lenguajes de programación, influenciaron, Javascript",es
Welke pogrammeertalen hadden invloed op Javascript?,"programmeertalen, invloed op, Javascript",nl
Welcher Musiker hat die meisten Bücher geschrieben?,"Musiker, geschrieben, die meisten Bücher",de
Который музыкант писал  большинство книги? ,"музыкант ,  писал ,   большинство книги ",ru
Qual músico escrevi a a maioria livros? ,"músico ,  escrevi ,  a a maioria livros ",pt
Which musician wrote the most books?,"musician, wrote, the most books",en
कौन कौन से संगीतकार लिखा था  अधिकांश पुस्तकें? ,"संगीतकार ,  लिखा था ,   अधिकांश पुस्तकें ",hi_IN
کدام موسیقیدان بیشترین کتاب را نوشت؟,موسیقیدان، بیشترین کتاب، نوشت,fa
Quale musicista ha scritto il maggior numero di libri?,"musicista, scrivere, maggior numero di libri",it
Quel musicien a écrit le plus de livres?,"musicien, écrit, plus de livres",fr
Care muzician a scris cele mai multe cărți?,"muzician, scris, cele mai multe cărți",ro
¿Qué músico ha escrito el mayor numero de libros?,"músico, escrito, mayor numero de libros",es
Welke musicus schreef de meeste boeken?,"musicus, schreef, de meeste boeken",nl
Bei welchen Filmen mit Clint Eastwood hat er selber Regie geführt?,"Film, Clint Eastwood, Regie",de
Который фильмы в главной роли Clint Иствуд сделал он непосредственный сам? ,"фильм ,  в главной роли ,  непосредственный ,  Clint Иствуд ",ru
Qual filmes estrelando Clint Eastwood fez ele direto ele mesmo? ,"filme ,  estrelando ,  direto ,  Clint Eastwood ",pt
Which films starring Clint Eastwood did he direct himself?,"film, starring, direct, Clint Eastwood",en
कौन कौन से फिल्मों अभिनीत क्लिंट ईस्टवुड किया वह प्रत्यक्ष खुद को? ,"फ़िल्म ,  अभिनीत ,  प्रत्यक्ष ,  क्लिंट ईस्टवुड ",hi_IN
کلینت ایستوود در چه فیلمی که خودش کارگردانی کرد بازی کرد؟,کلینت ایستوود، فیلمی، کارگردانی، بازی,fa
Quali film con Clint Eastwoon erano diretti da lui stesso?,"film, recitare, dirigere, Clint Eastwood",it
Dans quels films de Client Eastwood joue Clint Eastwood?,films de Client Eastwood où joue Clint Eastwood,fr
Ce film în care Clint Eastwood joacă rolul principal a fost regizat de el însuși?,"film, rol principal, regizor, Clint Eastwood",ro
¿En qué películas con Clint Eastwood están dirigidas por él mismo?,"películas, Clint Eastwood, director",es
"Welke films waarin Clint Eastwood speelde, werden ook door hem geregisseerd?","film, Clint Eastwood, regisseur, acteur",nl
"Welche Softwareprodukte wurden von Unternehmen entwickelt, die in Kalifornien gegründet wurden?","Unternehmen, gründen, Kalifornien, entwickeln, Softwareprodukt",de
Который программного обеспечения имеет было развитая от организации основанный в California? ,"организация ,  основанный ,  Калифорния ,  развивать ,  программного обеспечения ",ru
Qual Programas tem fui desenvolvido de organizações fundado dentro Califórnia? ,"organização ,  fundado ,  Califórnia ,  desenvolve ,  Programas ",pt
Which software has been developed by organizations founded in California?,"organization, founded, California, develop, software",en
कौन कौन से सॉफ्टवेयर है गया विकसित द्वारा संगठनों स्थापित में कैलिफोर्निया? ,"संगठन ,  स्थापित ,  कैलिफोर्निया ,  विकसित करना ,  सॉफ्टवेयर ",hi_IN
چه نرم افزارهایی توسط سازمان هایی که در کالیفرنیا تأسیس شدند توسعه یافته است؟,نرم افزارهایی، سازمان هایی، کالیفرنیا، تأسیس، توسعه,fa
Quali software sono stati sviluppati da aziende fondate in California?,"azienda, fondata, California, sviluppare, software",it
Quels logiciels ont été dévelopés par des agences fondées en Californie?,"Californie, agences, fondées, logiciels",fr
Ce software a fost dezvoltat de organizații fondate în California,"organizație, fondată, California, dezvolta, software",ro
¿Qué productos de software han sido desarrollados por empresas fundadas en California?,"empresas, fundadas, California, desarrolar, productos de software",es
Welke software is ontwikkeld door bedrijven opgericht in Californië?,"bedrijf, opgericht, Californië, ontwikkeld, software",nl
Welche Instrumente spielt Cat Stevens?,"Cat Stevens, Instrument",de
Который инструменты делает Кот Стивенс играть? ,"Кот Стивенс ,  инструмент ",ru
Qual instrumentos faz Gato Stevens Toque? ,"Gato Stevens ,  instrumento ",pt
Which instruments does Cat Stevens play?,"Cat Stevens, instrument",en
कौन कौन से उपकरणों कर देता है बिल्ली स्टीवंस प्ले? ,"बिल्ली स्टीवंस ,  साधन ",hi_IN
کت استیونس چه آلاتی را می نواخت؟,کت استیونس، آلاتی,fa
Quali strumenti suona Cat Stevens?,"Cat Stevens, strumenti",it
Quels instruments joue Cat Stevens?,"Cat Stevens, instrument",fr
La ce instrumente cântă Cat Stevens?,"Cat Stevens, instrument",ro
¿Qué instrumentos tocaba Cat Stevens?,"Cat Stevens, instrumento, tocaba",es
Welke instrumenten speeld Cat Stevens?,"Cat Stevens, instrument",nl
Wieviele Fluggesellschaften sind in der Star Alliance?,"Anzahl, Fluggesellschaften, Star Alliance",de
Как многие авиакомпании находятся члены из  звезда Альянс? ,"как многие ,  авиакомпании ,  член ,  звезда союз ",ru
Como muitos companhias aéreas estamos membros do a Estrela Aliança? ,"como muitos ,  companhias aéreas ,  membro ,  Estrela Aliança ",pt
How many airlines are members of the Star Alliance?,"how many, airlines, member, Star Alliance",en
किस तरह अनेक विमान सेवाओं कर रहे हैं सदस्यों का  तारा संधि? ,"किस तरह अनेक ,  विमान सेवाओं ,  सदस्य ,  तारा संधि ",hi_IN
چه تعداد خطوط هوایی عضو استار الاینس هستند؟,خطوط هوایی، عضو، استار الاینس,fa
Quante compagnie aeree membri di Star Alliance?,"quante, compagnie aeree, membri, Star Alliance",it
Combien de companies aériennes sont membres de Star Alliance?,"nombre, companies aériennes, membres de Star Alliance",fr
Câte companii aeriene sunt membre în Star Alliance?,"câte, companii aeriene, membre, Star Alliance",ro
¿Cuántas compañías son miembros del la Star Alliance?,"Cuántas compañías, miembros, Star Alliance",es
Hoeveel luchtvaartmaatschappijen zijn lid van Star Alliance?,"hoeveel, luchtvaartmaatschappijen, lid, Star Alliance?",nl
"Gib mir alle Schauspieler, die Baldwin heißen.","Schauspieler, heißen, Baldwin",de
Дайте меня все актеры называется Болдуин. ,"актеры ,  называется ,  Болдуин ",ru
Dar mim todos atores chamado Baldwin ,"atores ,  chamado ,  Baldwin ",pt
Give me all actors called Baldwin.,"actors, called, Baldwin",en
देना मुझे सब अभिनेताओं बुलाया बाल्डविन। ,"अभिनेताओं ,  बुलाया ,  बाल्डविन ",hi_IN
تمام بازیگران با نام بالدوین را لیست کن.,بازیگران، نام، بالدوین,fa
Dammi tutti gli attori che si chiamano Baldwin.,"attori, chiamarsi, Baldwin",it
Donne-moi tous les acteurs appelés Baldwin.,"Acteury, appelés, Baldwin",fr
Dă-mi toți actorii numiți Baldwin.,"actori, numit, Baldwin",ro
Dame todos los actores llamados Baldwin.,"actores, llamados Baldwin",es
Toon alle acteurs die Baldwin heten.,"acteurs, heten, Baldwin",nl
Wer hat Die Tribute von Panem geschrieben?,"geschrieben, Die Tribute von Panem",de
Кто писал  голодание Игры? ,"писал ,  голодание Игры ",ru
Quem escrevi o Fome Jogos? ,"escrevi ,  Fome Jogos ",pt
Who wrote The Hunger Games?,"wrote, Hunger Games",en
कौन लिखा था  भूख खेल? ,"लिखा था ,  भूख खेल ",hi_IN
چه کسی هانگر گیمز را نوشت؟,هانگر گیمز، نوشت,fa
Chi ha scritto Hunger Games?,"autore, Hunger Games",it
Qui est l'auteur de The Hunger Games,"auteur, The Hunger Games",fr
Cine a scris Jocurile Foamei?,"scris, Jocurile Foamei",ro
¿Quien escribió Los juegos del hambre?,"autor, Los juegos del hambre",es
Wie heeft De Hongerspelen geschreven?,"geschreven, De Hongerspelen",nl
Welche Plattenfirma hat Elvis' erstes Album aufgenommen?,"Elvis, erstes, Album, Plattenfirma",de
Для который метка сделал Элвис запись его первый альбом? ,"Элвис ,  первый ,  альбом ,  метка ",ru
Para qual rótulo fez Elvis registro dele primeiro álbum? ,"Elvis ,  primeiro ,  álbum ,  rótulo ",pt
For which label did Elvis record his first album?,"Elvis, first, album, label",en
किस लेबल के लिए एल्विस ने अपना पहला एल्बम रिकॉर्ड किया था?,"लेबल, एल्विस, पहला एल्बम, रिकॉर्ड",hi_IN
  آلبوم  اولین  خود  رکورد  الویس  انجام داد  برچسب  که  برای,"  الویس,    اولین,    آلبوم,    برچسب",fa
Quale casa discografica ha inciso il primo album di Elvis?,"Elvis, primo, album, casa discografica",it
Com qual gravadora Elvis gravou seu primeiro álbum?,"gravadora, Elvis, gravou, primeiro, álbum",pt_BR
Quel est le label discographe qui a publié le premier disque d'Elvis?,"label discographe, publié, premier disque, Elvis",fr
Ce casă discografică a înregistrat primul album al lui Elvis?,"Elvis, prim, album, casă discografică",ro
¿Qué discográfica grabó el primer album de Elvis?,"discográfica, primer album de Elvis",es
Bij welk platenlabel verscheen het eerste album van Elvis Presley?,"platenlabel, eerste album, Elvis",nl
Spielt Christian Bale in Batman Begins mit?,"Christian Bale, mitspielen, Batman Begins",de
Является Кристиан тюк в главной роли в Бэтмен Начинается? ,"Кристиан тюк ,  в главной роли ,  Бэтмен Начинает ",ru
É cristão Fardo estrelando dentro homem Morcego Começa? ,"cristão Fardo ,  estrelando ,  homem Morcego Começa ",pt
Is Christian Bale starring in Batman Begins?,"Christian Bale, starring, Batman Begins",en
क्या क्रिस्चियन बॉल बैटमैन बेगिंस में है?,"क्रिस्चियन बॉल, बैटमैन बेगिंस",hi_IN
  شروع می شود؟  بتمن  که در  بازیگران  بیل  مسیحی  است,"  بیل  مسیحی,    بازیگران,    شروع می شود  بتمن",fa
Christian Bale ha recitato in Batman Begins?,"Christian Bale, recitare, Batman Begins",it
Christian Bale atua em Batman Begins?,"Christian Bale, atua, Batman Begins",pt_BR
Christian Bale joue-t-il dans Batman Begins?,"Christian Bale, joue, Batman Begins",fr
Este creştin Balot încearcă în Batman Începe? ,"creştin Balot ,  încearcă ,  Batman începe ",ro
¿Actúa Christian Bale en Batman Begins?,"Christian Bale, actúa, Batman Begins",es
Speelt Christian Bale in Batman Begins?,"Christian Bale, speelt in, Batman Begins",nl
Wo wohnt der Premierminister von Spanien?,"Premierminister, Spanien, wohnen",de
где является  резиденция из  простое число министр из Испания? ,"простое число министр ,  Испания ,  резиденция ",ru
Onde é a residência do a prima ministro do Espanha? ,"prima ministro ,  Espanha ,  residência ",pt
Where is the residence of the prime minister of Spain?,"prime minister, Spain, residence",en
कहा पे है  रहने का स्थान का  प्रधान मंत्री का स्पेन? ,"प्रधान मंत्री ,  स्पेन ,  रहने का स्थान ",hi_IN
محل سکونت نخست وزیر اسپانیا کجاست؟,محل سکونت، نخست وزیر، اسپانیا,fa
Dove vive il primo ministro della Spagna?,"primo ministro, Spagna, vivere",it
Où se trouve la résidence du Premier Ministre d'Espagne?,"résidence, Premier Ministre d'Espagne",fr
Unde este reședința primului ministru al Spaniei?,"prim ministru, Spania, reședință",ro
¿Dónde vive el primer ministor de España?,"primer ministro, España, vive",es
Waar woont de premier van Spanje?,"woont, premier van Spanje",nl
Welcher Schauspieler spielte in den meisten Filmen mit?,"Schauspieler, meiste Filme",de
Который актер был литая в  большинство кино? ,"актер ,  литая ,  большинство кино ",ru
Qual ator estava fundido dentro a a maioria filmes? ,"ator ,  fundido ,  a maioria filmes ",pt
Which actor was casted in the most movies?,"actor, casted, most movies",en
कौन कौन से अभिनेता था casted में  अधिकांश चलचित्र? ,"अभिनेता ,  casted ,  अधिकांश चलचित्र ",hi_IN
کدام بازیگر در بیشترین تعداد فیلم بازی کرده است؟,بازیگر، بیشترین تعداد فیلم، بازی,fa
Quale attore è stato scritturato in piùfilm?,"attore, scritturato, maggior numero di film",it
Quel acteur a joué dans le plus de films?,"acteur, maximum de films",fr
Ce actor a fost distribuit în cele mai multe filme?,"actor, distribuit, cele mai multe filme",ro
¿Qué actor ha actuado en el mayor número de películas?,"actor, mayor número de películas",es
Welke acteur speelde in de meeste films?,"acteur, spelen, meeste films",nl
Welche Länder haben mehr als zwei Amtssprachen?,"Land, Amtssprache, mehr als zwei",de
