questions,lang
is peer reviewed,en
is route stop,en
island,en
iso code of a community,en
iso code of a place,en
iso code of a province,en
israeliNewSheqel,en
iss dockings,en
issn,en
ist,en
ithf date,en
its calculation needs,en
iucn category,en
jamaicanDollar,en
japaneseYen,en
jockey,en
jockey (horse racer),en
joint community,en
jordanianDinar,en
joule,en
journalist,en
judge,en
junior season,en
junior team,en
junior years end year,en
junior years start year,en
jure language,en
jurisdiction,en
jutsu,en
kazakhstaniTenge,en
kelvin,en
kenyanShilling,en
key person,en
khl draft team,en
khl draft year,en
killed by,en
kiloampere,en
kilobit,en
kilobyte,en
kilocalorie,en
kilogram,en
kilogramForce,en
kilogramPerCubicMetre,en
kilogramPerLitre,en
kilohertz,en
kilojoule,en
kilolightYear,en
kilolitre,en
kilometre,en
kilometrePerHour,en
kilometrePerSecond,en
kilometresPerLitre,en
kilonewton,en
kilopascal,en
kilopond,en
kilovolt,en
kilowatt,en
kilowattHour,en
kind of coordinate,en
kind of criminal,en
kind of criminal action,en
kind of rock,en
kindOfLanguage,en
kingdom,en
knot,en
known for,en
ko,en
kuwaitiDinar,en
kyrgyzstaniSom,en
label of a website,en
lacrosse league,en
lacrosse player,en
lah hof,en
lake,en
land,en
land percentage of a place,en
land registry code,en
landeshauptmann,en
landing date,en
landing site,en
landing vehicle,en
language,en
language code,en
language regulator or academy,en
laoKip,en
largest city,en
largest metro,en
largest settlement,en
largest win,en
last air date,en
last appearance,en
last champion,en
last election date,en
last family member,en
last flight,en
last flight end date,en
last flight start date,en
last launch,en
last launch date,en
last launch rocket,en
last position,en
last publication date,en
last race,en
last season,en
last win,en
laterality,en
latest preview date,en
latest preview version,en
latest release date,en
latest release version,en
latvianLats,en
launch,en
launch date,en
launch pad,en
launch site,en
launch vehicle,en
launches,en
law,en
law country,en
law firm,en
laying down,en
layout,en
lchf draft year,en
lead team,en
lead year,en
leader,en
leader name,en
leader party,en
leader title,en
leaderFunction,en
leadership,en
league,en
league champion,en
league manager,en
lebanesePound,en
left child,en
left tributary,en
legal arrondissement,en
legal article,en
legal form,en
legend thumbnail localization,en
legislative period name,en
legislature,en
length (km),en
length (mm),en
length (μ),en
length of a coast,en
length of a frontier,en
length of runway (μ),en
length quote,en
length reference,en
lesothoLoti,en
lethal when given to chickens,en
lethal when given to mice,en
lethal when given to rabbits,en
lethal when given to rats,en
letter,en
liberianDollar,en
library,en
libretto,en
libyanDinar,en
licence letter of a german settlement,en
licence number,en
licence number label,en
license,en
licensee,en
lieutenancy,en
lieutenant,en
life cycle event,en
life expectancy,en
liga de fútbol canadiense,en
ligament,en
light novel,en
lightYear,en
lighthouse,en
lihf hof,en
limit,en
line,en
line length (μ),en
line of fashion,en
linguist,en
linguistics tradition,en
linked space,en
linked to,en
lipid,en
list,en
list item,en
literary genre,en
lithuanianLitas,en
litre,en
little pool record,en
livingPlace,en
load limit (g),en
local authority,en
local phone prefix,en
locality,en
locality of a switzerland settlement,en
localization of the island,en
located in area,en
location,en
location city,en
locationName,en
lock,en
locomotive,en
locus supplementary data,en
logo,en
long distance piste kilometre (μ),en
long distance piste number,en
longName,en
longtype,en
lounge,en
lower age,en
lower earth orbit payload (g),en
lower earth orbit payload (kg),en
lowest,en
lowest mountain,en
lowest place,en
lowest point,en
lowest position,en
lowest region,en
lowest state,en
lunar EVA time (s),en
lunar EVA time (ω),en
lunar crater,en
lunar landing site,en
lunar module,en
lunar orbit time (s),en
lunar orbit time (ω),en
lunar rover,en
lunar sample mass (g),en
lunar sample mass (kg),en
lunar surface time (s),en
lunar surface time (ω),en
lymph,en
lyrics,en
macanesePataca,en
macedonianDenar,en
magazine,en
magenta coordinate in the CMYK space,en
maiden flight,en
maiden flight rocket,en
maiden voyage,en
main branch,en
main building,en
main character,en
main domain,en
main interest,en
main island,en
main islands,en
main organ,en
mainspan (μ),en
maintained by,en
major island,en
major shrine,en
majority floor leader,en
majority leader,en
makeup artist,en
malagasyAriary,en
malawianKwacha,en
malaysianRinggit,en
maldivianRufiyaa,en
mammal,en
management,en
management country,en
management elevation (μ),en
management mountain,en
management place,en
management position,en
management region,en
manager,en
manager club,en
manager season,en
manager title,en
manager years,en
manager years end year,en
manager years start year,en
managing editor,en
mandate of a prefect of a romanian settlement,en
mandate of the president of the general council,en
manga,en
manhua,en
manhwa,en
manufacturer,en
map,en
map caption,en
map description,en
march,en
market capitalisation ($),en
marriage,en
martial artist,en
mascot,en
mass (g),en
mass (kg),en
massif,en
masters wins,en
match point,en
material,en
mauritanianOuguiya,en
mauritianRupee,en
max,en
maximum ELO rating,en
maximum absolute magnitude,en
maximum apparent magnitude,en
maximum area,en
maximum area quote,en
maximum boat beam (μ),en
maximum boat length (μ),en
maximum depth (μ),en
maximum depth quote,en
maximum discharge (m³/s),en
maximum elevation (μ),en
maximum inclination,en
maximum preparation time (s),en
maximum temperature (K),en
mayor,en
mayor article,en
mayor councillor,en
mayor function of a switzerland settlement,en
mayor title of a hungarian settlement,en
mayorMandate,en
mean of transportation,en
mean radius (km),en
mean radius (μ),en
mean temperature (K),en
meaning,en
measurements,en
medalist,en
media,en
media item,en
media type,en
medician,en
meeting,en
meeting building,en
meeting city,en
meeting road,en
megabit,en
megabyte,en
megacalorie,en
megahertz,en
megalitre,en
megametre,en
meganewton,en
megapascal,en
megapond,en
megavolt,en
megawatt,en
megawattHour,en
melting point (K),en
member,en
member of parliament,en
membership,en
memorial,en
memorial ID number,en
mentor,en
merged into party,en
merged settlement,en
merger date,en
metre,en
metrePerSecond,en
metropolitan borough,en
mexicanPeso,en
mgiid,en
micro-region,en
microampere,en
microlitre,en
micrometre,en
microsecond,en
microvolt,en
mile,en
milePerHour,en
military aircraft,en
military branch,en
military command,en
military conflict,en
military function,en
military government,en
military person,en
military rank,en
military structure,en
military unit,en
military unit size,en
military vehicle,en
mill code BE,en
mill code NL,en
mill dissapeared code NL,en
mill span (μ),en
mill type,en
milliampere,en
millibar,en
millicalorie,en
milligram,en
milligramForce,en
millihertz,en
millilitre,en
millimetre,en
millinewton,en
millipascal,en
millipond,en
millisecond,en
millivolt,en
milliwatt,en
milliwattHour,en
millsCodeNLWindmotoren,en
min,en
mine,en
mineral,en
minimum area,en
minimum area quote,en
minimum discharge (m³/s),en
minimum elevation (μ),en
minimum inclination,en
minimum preparation time (s),en
minimum system requirements,en
minimum temperature (K),en
minority,en
minority floor leader,en
minority leader,en
minute,en
mir dockings,en
mission,en
mission duration (s),en
mission duration (μ),en
missions,en
mixed martial arts event,en
mixed martial arts league,en
mobile phone,en
model,en
model end date,en
model end year,en
model start date,en
model start year,en
moldovanLeu,en
molecular weight,en
mollusca,en
monarch,en
monastery,en
mongolianTögrög,en
month,en
monument,en
monument code (municipal),en
monument code (national),en
monument code (provinciall),en
monument code for the Monuments Inventory Project,en
monument protection status,en
mood,en
moroccanDirham,en
mosque,en
moss,en
most down point of a norwegian settlement,en
most steady,en
most successfull,en
most wins,en
mother,en
motocycle racer,en
motor race,en
motorcycle,en
motorcycle racing league,en
motorcycle rider,en
motorsport racer,en
motorsport season,en
motto,en
mount,en
mountain,en
mountain pass,en
mountain range,en
mouth country,en
mouth district,en
mouth elevation (μ),en
mouth mountain,en
mouth place,en
mouth position,en
mouth region,en
mouth state,en
movement,en
movie,en
movie genre,en
moving image,en
mozambicanMetical,en
mukthar of a lebanon settlement,en
multi volume publication,en
municipality,en
municipality code,en
murderer,en
muscle,en
museum,en
museumType,en
music by,en
music composer,en
music director,en
music festival,en
music fusion genre,en
music genre,en
music subgenre,en
musicFormat,en
musicType,en
musical,en
musical artist,en
musical band,en
musical key,en
musical work,en
musicians,en
mute character in play,en
mvp,en
myanmaKyat,en
mythological figure,en
mythology,en
name,en
name day,en
name in Hangul-written Korean,en
name in Hanja-written (traditional) Korean,en
name in Japanese,en
name in Mindongyu Chinese,en
name in Minnanyu Chinese,en
name in Pinyin Chinese,en
name in Simplified Chinese,en
name in Traditional Chinese,en
name in Yue Chinese,en
name in ancient Greek,en
name in latin,en
name in the Wade-Giles transscription of Chinese,en
named after,en
named by language,en
names,en
namibianDollar,en
nanometre,en
nanonewton,en
nanosecond,en
narrator,en
naruto character,en
nascar driver,en
nation,en
national affiliation,en
national championship,en
national collegiate athletic association athlete,en
national football league event,en
national football league season,en
national ranking,en
national selection,en
national soccer club,en
national team,en
national team match point,en
national team year,en
national tournament bronze,en
national tournament gold,en
national tournament silver,en
national years,en
nationality,en
natural event,en
natural place,en
natural region,en
nautialMile,en
ncaa season,en
ncbhof,en
nearest city,en
neighboring municipality,en
neighbour constellations,en
neighbour region,en
neighbourhood of a hungarian settlement,en
nepaleseRupee,en
nerve,en
net income ($),en
netball player,en
netherlandsAntilleanGuilder,en
network,en
networth ($),en
newTaiwanDollar,en
newZealandDollar,en
newspaper,en
newton,en
newtonCentimetre,en
newtonMetre,en
newtonMillimetre,en
next entity,en
next event,en
next mission,en
nfl code,en
nfl season,en
nfl team,en
nicaraguanCórdoba,en
nigerianNaira,en
no contest,en
nobel laureates,en
noble,en
nominee,en
non professional career,en
non-fiction subject,en
non-profit organisation,en
north place,en
north-east place,en
north-west place,en
northKoreanWon,en
norwegian center,en
norwegian landskap,en
norwegianKrone,en
not soluble in,en
notable commander,en
notable features,en
notable student,en
notable wine,en
notable work,en
notableIdea,en
note,en
note on place of burial,en
note on resting place,en
notes,en
notify date,en
novel,en
number,en
number built,en
number of academic staff,en
number of albums,en
number of arrondissement,en
number of bombs,en
number of bronze medals won,en
number of canton,en
number of classrooms,en
number of clubs,en
number of competitors,en
number of contries inside en continent,en
number of counties,en
number of countries,en
number of crew,en
number of deaths,en
number of dependency,en
number of district,en
number of districts,en
number of doctoral students,en
number of employees,en
number of entrances,en
number of episodes,en
number of films,en
number of goals scored,en
number of gold medals won,en
number of graduate students,en
number of graves,en
number of holes,en
number of houses present),en
number of intercommunality,en
number of islands,en
number of items in collection,en
number of lanes,en
number of laps,en
number of launches,en
number of lawyers,en
number of licensed,en
number of lines,en
number of live albums,en
number of locations,en
number of matches or caps,en
number of members,en
number of members as of,en
number of ministries,en
number of neighbourhood,en
number of newly introduced sports,en
number of offices,en
number of officials,en
number of orbits,en
number of pads,en
number of pages,en
number of parking lots for cars,en
number of parking lots for trucks,en
number of parking spaces,en
number of participating athletes,en
number of participating female athletes,en
number of participating male athletes,en
number of participating nations,en
number of people attending,en
number of piers in water,en
number of pixels (millions),en
number of platform levels,en
number of players,en
number of postgraduate students,en
number of professionals,en
number of reactors,en
number of representatives,en
number of restaurants,en
number of rocket stages,en
number of rockets,en
number of rooms,en
number of run,en
number of seasons,en
number of seats,en
number of seats in parliament,en
number of seats in the land parlement,en
number of settlement,en
number of silver medals won,en
number of spans,en
number of speakers,en
number of sports,en
number of sports events,en
number of staff,en
number of stars,en
number of stations,en
number of students,en
number of studio albums,en
number of suites,en
number of teams,en
number of tracks,en
number of turns,en
number of undergraduate students,en
number of vehicles,en
number of villages,en
number of vineyards,en
number of visitors,en
number of visitors as of,en
number of volumes,en
number of volunteers,en
number of wineries,en
number sold,en
observatory,en
occupation,en
offered classes,en
office,en
office holder,en
officer in charge,en
official language,en
official name,en
official opened by,en
official school colour,en
ofs code of a settlement,en
oil system,en
okato code,en
old district,en
old name,en
old province,en
old team coached,en
old territory,en
oldcode,en
olympic event,en
olympic games,en
olympic games bronze,en
olympic games gold,en
olympic games silver,en
olympic games wins,en
olympic oath sworn by,en
olympic oath sworn by athlete,en
olympic oath sworn by judge,en
olympic result,en
olympics,en
omaniRial,en
on chromosome,en
on-site mean of transportation,en
one-time municipality,en
ons,en
open access content,en
opening date,en
opening film,en
opening season,en
opening theme,en
opening year,en
opera,en
operating income ($),en
operating system,en
operator,en
opponent,en
opponents,en
orbital eccentricity,en
orbital flights,en
orbital inclination,en
orbital period (s),en
orbital period (μ),en
orbits,en
order (taxonomy),en
order date,en
order in office,en
organ,en
organ system,en
organisation,en
organisation member,en
orientation,en
origin,en
original danse competititon,en
original danse score,en
original end point,en
original language,en
original maximum boat beam (μ),en
original maximum boat length (μ),en
original name,en
original start point,en
original title,en
originally used for,en
origo,en
orogeny,en
orphan,en
other,en
other activity,en
other appearances,en
other branch,en
other channel,en
other function,en
other information of a settlement,en
other language of a settlement,en
other media,en
other name,en
other occupation,en
other party,en
other serving lines,en
other wins,en
otherSportsExperience,en
ounce,en
outflow,en
output,en
outskirts,en
overall record,en
overseas department,en
oversight,en
owner,en
owning company,en
owning organisation,en
owns,en
page length (characters) of wiki page,en
page number,en
paintball league,en
painter,en
pakistaniRupee,en
panamanianBalboa,en
papuaNewGuineanKina,en
paraguayanGuarani,en
parent,en
parent company,en
parent mountain peak,en
parent organisation,en
parish,en
park,en
parking information,en
parliament,en
parliament type,en
parliamentary group,en
part,en
partial failed launches,en
participant,en
participates/participated in,en
particular sign,en
partner,en
party,en
party number,en
pascal,en
passengers per day,en
passengers per year,en
passengers used system,en
past member,en
pastor,en
patent,en
patron,en
patron (art),en
patron saint,en
państwo,en
pcc secretary,en
penalty score,en
penalty shoot-out,en
penis length,en
peopleName,en
per capita income ($),en
per capita income as of,en
per capital income rank,en
perCent,en
perMil,en
percentage,en
percentage of alcohol,en
percentage of area water,en
percentage of fat,en
performer,en
periapsis (km),en
periapsis (μ),en
perifocus,en
perimeter (μ),en
period of artistic style,en
periodical literature,en
person,en
person function,en
person that first ascented a mountain,en
personName,en
personal event,en
peruvianNuevoSol,en
pferdestaerke,en
pga wins,en
philippinePeso,en
philosopher,en
philosophicalSchool,en
phone prefix,en
phone prefix label of a settlement,en
photographer,en
phylum,en
picture,en
picture description,en
picture format,en
pictures Commons category,en
piercing,en
piscicultural population,en
piston stroke (mm),en
piston stroke (μ),en
place,en
place of burial,en
place of military conflict,en
place of worship,en
planet,en
plant,en
play,en
play role,en
player in team,en
player season,en
player status,en
playing time (s),en
plays,en
pluviometry,en
podium,en
podiums,en
poem,en
poet,en
poker player,en
pole,en
pole driver,en
pole driver country,en
pole driver team,en
pole position,en
poles,en
police name,en
polishZłoty,en
politic government department,en
political function,en
political leader,en
political majority,en
political mandate,en
political party,en
political party in legislature,en
political party of leader,en
political seats,en
politician,en
politician spouse,en
polo league,en
polysaccharide,en
pond,en
pope,en
populated place,en
population,en
population as of,en
population density (/sqkm),en
population density rural (/sqkm),en
population metro,en
population metro density (/sqkm),en
population percentage female,en
population percentage male,en
population percentage under 12 years,en
population place,en
population quote,en
population rural,en
population total,en
population urban,en
population urban density (/sqkm),en
population year,en
portfolio,en
portrayer,en
position,en
position in which a surface occurs in a text,en
postal code,en
pound,en
poundFoot,en
poundPerSquareInch,en
poundSterling,en
poundal,en
power,en
power output (W),en
power output (kW),en
power station,en
power type,en
precursor,en
predecessor,en
prefect,en
prefecture,en
prefix,en
prehistorical period,en
premiere date,en
premiere place,en
premiere year,en
present municipality,en
presenter,en
president,en
president general council,en
president regional council,en
previous demographics,en
previous editor,en
previous entity,en
previous event,en
previous infrastructure,en
previous mission,en
previous name,en
previous population,en
previous population total,en
previous work,en
price ($),en
priest,en
primary fuel type,en
prime minister,en
"primogenitor, first forebear",en
principal,en
principal area,en
principal engineer,en
prison,en
pro bowl pick,en
pro period,en
pro since,en
pro team,en
pro year,en
procedure,en
produced by,en
producer,en
produces,en
product,en
product shape,en
production,en
production company,en
production end date,en
production end year,en
production start date,en
production start year,en
production years,en
profession,en
professor,en
program cost ($),en
programme format,en
programming language,en
project,en
project budget funding ($),en
project budget total ($),en
project coordinator,en
project end date,en
project keyword,en
project objective,en
project participant,en
project reference ID,en
project start date,en
project type,en
prominence (μ),en
promoted,en
promotion,en
pronunciation,en
prospect league,en
prospect team,en
protected area,en
protein,en
protein (g),en
protestant percentage,en
protohistorical period,en
prove code,en
provides,en
province,en
province link,en
provost,en
pseudonym,en
psychologist,en
public service,en
public transit system,en
publication,en
publication date,en
publicly accessible,en
publisher,en
purchasing power parity,en
purchasing power parity rank,en
purchasing power parity year,en
purpose,en
qatar classic,en
qatariRial,en
quebecer title,en
quotation,en
quote,en
ra,en
race,en
race horse,en
race length (μ),en
race result,en
race track,en
race wins,en
racecourse,en
races,en
racing driver,en
racket catching,en
radio,en
radio host,en
radio program,en
radio station,en
radio-controlled racing league,en
rail gauge (μ),en
railway line,en
railway line using tunnel,en
railway platforms,en
railway rolling stock,en
railway tunnel,en
rally driver,en
range,en
rank,en
rank in final medal count,en
rank of a population,en
rank of an agreement,en
rank of an area,en
ranking,en
ranking wins,en
rating,en
rdf:langString,en
rebellion,en
rebuild date,en
rebuilder,en
rebuilding date,en
rebuilding year,en
recent winner,en
recommissioning date,en
record date,en
record label,en
recorded in,en
rector,en
red coordinate in the RGB space,en
red list ID NL,en
red long distance piste number,en
red ski piste number,en
redline (kmh),en
referee,en
reference,en
reference for cultural data,en
reference for general data,en
reference for geographic data,en
reference for politic data,en
referent bourgmestre,en
refseq mRNA,en
refseq protein,en
regency,en
regent of,en
regime,en
region,en
region link,en
region served,en
region type,en
regional council,en
regional language,en
regional prefecture,en
registration,en
registry number,en
reign,en
reign name,en
reigning pope,en
related,en
related functions,en
related mean of transportation,en
related places,en
relation,en
relation time,en
relative,en
release date,en
release location,en
relegated teams,en
relics,en
relief,en
religion,en
religious,en
religious building,en
religious head,en
religious head label,en
religious order,en
religious organisation,en
renminbi,en
reopened,en
reopening date,en
reopening year,en
reporting mark,en
reptile,en
requirement,en
research project,en
reservations,en
residence,en
resolution,en
rest area,en
restaurant,en
resting date,en
resting place,en
resting place position,en
restore date,en
result,en
results of a sport competition,en
retired,en
retired rocket,en
retirement date,en
revenue ($),en
review,en
right ascension,en
right child,en
right tributary,en
rival,en
river,en
river mouth,en
road,en
road end direction,en
road junction,en
road start direction,en
road tunnel,en
rocket,en
rocket engine,en
rocket function,en
rod,en
roland garros double,en
roland garros mixed,en
roland garros single,en
role,en
roller coaster,en
roman emperor,en
romanianNewLeu,en
roof height,en
rotation period (s),en
route,en
route activity,en
route direction,en
route end,en
route end location,en
route junction,en
route next stop,en
route number,en
route of transportation,en
route previous stop,en
route stage,en
route start,en
route start location,en
route type abbreviation,en
row number,en
rower,en
royal anthem,en
royalty,en
rugby club,en
rugby league,en
rugby player,en
ruling,en
running mate,en
runtime (m),en
runtime (s),en
rural municipality,en
russianRouble,en
rwandaFranc,en
saint,en
saintHelenaPound,en
salary ($),en
sales,en
samba school,en
same name,en
samoanTala,en
satellite,en
satellites deployed,en
saturation coordinate in the HSV colour space,en
saudiRiyal,en
scale,en
scene,en
school,en
school board,en
school code,en
school number,en
school patron,en
scientific name,en
scientist,en
score,en
screenwriter,en
sculptor,en
sea,en
season,en
season manager,en
season number,en
seating capacity,en
second,en
second commander,en
second driver,en
second driver country,en
second place,en
second team,en
secondLeader,en
secondPopularVote,en
secondary/other fuel type,en
secretary,en
security,en
seiyu,en
selection,en
selection point,en
selection year,en
senator,en
senior,en
seniority,en
seniunija,en
sentence,en
serbianDinar,en
serial killer,en
series,en
service,en
service end date,en
service end year,en
service module,en
service number,en
service start date,en
service start year,en
serving railway line,en
serving size (g),en
serving temperature,en
session number,en
set designer,en
setting of play,en
settlement,en
settlement attached,en
settlement code,en
setup time (s),en
sex,en
sexual orientation,en
seychellesRupee,en
share date,en
share of audience,en
share source,en
sharing out population,en
sharing out year,en
sheading,en
ship,en
ship beam (μ),en
ship draft (μ),en
ship launched,en
shoe number,en
shoe size,en
shoot,en
shoots,en
shopping mall,en
shore length (km),en
shore length (μ),en
short prog competition,en
short prog score,en
show,en
showJudge,en
shrine,en
shuttle,en
sibling,en
sierraLeoneanLeone,en
sign name of a hungarian settlement,en
signature,en
significant building,en
significant design,en
significant project,en
siler medalist,en
silver medal double,en
silver medal mixed,en
silver medal single,en
similar,en
singaporeDollar,en
single,en
single rankings,en
sire,en
siren number,en
sister college,en
sister newspaper,en
sister station,en
sixth form students,en
size (B),en
size (MB),en
size blazon,en
size logo,en
size map,en
size thumbnail,en
size_v,en
skater,en
ski area,en
ski jumper,en
ski lift,en
ski piste kilometre (μ),en
ski piste number,en
ski resort,en
ski tow,en
skier,en
skills,en
skin color,en
skyscraper,en
slogan,en
slovakKoruna,en
snooker player,en
snooker world champion,en
snooker world ranking,en
snow park number,en
so named since,en
soap character,en
soccer club,en
soccer club season,en
soccer league,en
soccer league season,en
soccer manager,en
soccer player,en
soccer tournoment,en
societal event,en
softball league,en
software,en
solar eclipse,en
solicitor general,en
solomonIslandsDollar,en
solubility,en
solvent with bad solubility,en
solvent with good solubility,en
solvent with mediocre solubility,en
somaliShilling,en
song,en
songwriter,en
sound,en
sound recording,en
source,en
source confluence,en
source confluence country,en
source confluence elevation (μ),en
source confluence mountain,en
source confluence place,en
source confluence position,en
source confluence region,en
source confluence state,en
source country,en
source district,en
source elevation (μ),en
source mountain,en
source place,en
source position,en
source region,en
source state,en
sourceText,en
south place,en
south-east place,en
south-west place,en
southAfricanRand,en
southKoreanWon,en
sovereign country,en
space,en
space mission,en
space shuttle,en
space station,en
spacecraft,en
spacestation,en
spacewalk begin,en
spacewalk end,en
speaker,en
special effects,en
special trial,en
specialist,en
speciality,en
species,en
speed limit (kmh),en
speed skater,en
speedway league,en
speedway rider,en
speedway team,en
spike,en
split from party,en
spoken in,en
spokesperson,en
sport,en
sport country,en
sport discipline,en
sport facility,en
sport governing body,en
sport specialty,en
sports club,en
sports event,en
sports function,en
sports league,en
sports manager,en
sports season,en
sports team,en
sports team season,en
spouse,en
spouse name,en
spur of,en
spur type,en
squad number,en
square,en
squareCentimetre,en
squareDecametre,en
squareDecimetre,en
squareFoot,en
squareHectometre,en
squareInch,en
squareKilometre,en
squareMetre,en
squareMile,en
squareMillimetre,en
squareNauticalMile,en
squareYard,en
squash player,en
sriLankanRupee,en
stadium,en
staff,en
standard,en
standardAtmosphere,en
star,en
star rating,en
starring,en
start,en
start career,en
start date,en
start date and time,en
start occupation,en
start point,en
start reign,en
start wqs,en
start xct,en
start year,en
start year of insertion,en
start year of sales,en
stat name,en
stat value,en
state,en
state delegate,en
state of origin,en
state of origin point,en
state of origin team,en
state of origin year,en
station,en
station EVA duration (s),en
station EVA duration (ω),en
station structure,en
station visit duration (s),en
station visit duration (ω),en
statistic,en
statistic label,en
statistic value,en
statistic year,en
status,en
status manager,en
status year,en
stellar classification,en
still image,en
stone,en
storm surge,en
story editor,en
stream,en
street,en
streetcar,en
strength,en
structural system,en
style,en
stylistic origin,en
sub-classis,en
sub-family,en
sub-order,en
subdivision,en
subdivision link,en
subdivision name of the island,en
subdivisions,en
subgenus,en
subject of play,en
subject term,en
sublimation point (K),en
suborbital flights,en
subprefecture,en
subregion,en
subsequent infrastructure,en
subsequent work,en
subsidiary,en
subsystem,en
subsystem link,en
subtitle,en
subtribus,en
subway station,en
successful launches,en
successor,en
sudanesePound,en
summer appearances,en
summer temperature (K),en
sumo wrestler,en
super-family,en
super-order,en
superbowl win,en
superintendent,en
supertribus,en
supplemental draft round,en
supplemental draft year,en
supplies,en
supply,en
suppredded date,en
surface area (km2),en
surface area (m2),en
surface gravity (g),en
surface of runway,en
surfer,en
surinamDollar,en
surname,en
swaziLilangeni,en
swedishKrona,en
swimmer,en
swissFranc,en
synagogue,en
synonym,en
syrianPound,en
system of law,en
sãoToméAndPríncipeDobra,en
table tennis player,en
tag,en
tajikistaniSomoni,en
tanzanianShilling,en
taoiseach,en
target airport,en
target space station station,en
taste or flavour,en
tattoo,en
tax,en
taxonomic group,en
teaching staff,en
team,en
team coached,en
team manager,en
team name,en
team point,en
team size,en
team sport,en
team title,en
technique,en
television episode,en
television host,en
television personality,en
television season,en
television series,en
television show,en
television station,en
temperature (K),en
temple,en
temple year,en
tenant,en
tennis league,en
tennis player,en
tennis tournament,en
terabyte,en
terahertz,en
terawattHour,en
term of office,en
term period,en
territory,en
tessitura,en
testaverage,en
thaiBaht,en
theatre,en
third,en
third commander,en
third driver,en
third driver country,en
third place,en
third team,en
this season,en
throwing side,en
thumbnail,en
thumbnail caption,en
thumbnail localization,en
tie,en
time,en
time period,en
time zone,en
timeshift channel,en
title,en
title date,en
title double,en
title language,en
title single,en
toll ($),en
tonganPaanga,en
tonne,en
tonneForce,en
top scorer,en
top speed (kmh),en
topic,en
topical concept,en
tor floor height,en
torch bearer,en
torque output (Nm),en
total area ranking,en
total cargo (g),en
total cargo (kg),en
total discs,en
total launches,en
total mass (g),en
total mass (kg),en
total population,en
total population ranking,en
total population reference,en
total time person has spent in space (m),en
total time person has spent in space (s),en
total time person has spent in space (μ),en
total tracks,en
total travellers,en
touristic site,en
tournament,en
tournament of champions,en
tournament record,en
tower,en
tower height,en
town,en
track length (μ),en
track list,en
track number,en
track width (μ),en
trade union,en
train,en
train carriage,en
train station,en
trainer,en
trainer club,en
trainer years,en
training,en
tram station,en
translated motto,en
translator,en
transmission,en
travellator,en
treaty,en
tree,en
tribus,en
trinidadAndTobagoDollar,en
trustee,en
tu,en
tuition ($),en
tunisianDinar,en
tunnel,en
turkishLira,en
turkmenistaniManat,en
tv.com id,en
tvShow,en
twin city,en
twin country,en
type,en
type coordinate,en
type of electrification,en
type of grain (wheat etc.),en
type of municipality,en
type of storage,en
type of surface,en
type of tennis surface,en
type of yeast,en
type series,en
ugandaShilling,en
ukrainianHryvnia,en
umbrella title,en
underground journal,en
undrafted year,en
unesco,en
unicode,en
unique reference number (URN),en
unit cost ($),en
unit of work,en
unitary authority,en
unitedArabEmiratesDirham,en
university,en
unknown outcomes,en
updated,en
upper age,en
urban area,en
uruguayanPeso,en
us open double,en
us open mixed,en
us open single,en
usBarrel,en
usBarrelOil,en
usDollar,en
usGallon,en
used in war,en
uses,en
using country,en
usopen wins,en
usurper,en
uzbekistanSom,en
valley,en
value,en
value coordinate in the HSV colour space,en
valvetrain,en
vanuatuVatu,en
variant or variation,en
varietals,en
vastest lake,en
vehicle,en
vehicle code,en
vehicles per day,en
vein,en
venerated in,en
venezuelanBolívar,en
venue,en
version,en
vicar,en
vice chancellor,en
vice leader,en
vice leader party,en
vice president,en
vice prime minister,en
vice principal,en
vice principal label,en
victim (resource),en
victims (string),en
victory,en
victory as manager,en
victory percentage as manager,en
video game,en
videogames league,en
village,en
virtual channel,en
visitor percentage change,en
visitor statistics as of,en
visitors per day,en
visitors per year,en
visitors total,en
vodka,en
voice,en
voice actor,en
voice type,en
volcanic activity,en
volcanic type,en
volcano,en
volcano id,en
volleyball coach,en
volleyball league,en
volleyball player,en
volt,en
voltage of electrification (V),en
volume (km3),en
volume (μ³),en
volume quote,en
volumes,en
von Klitzing electromagnetic constant (RK),en
waist size (μ),en
ward of a liechtenstein settlement,en
wars,en
water,en
water percentage of a place,en
water polo Player,en
water ride,en
watercourse,en
watershed (km2),en
watershed (m2),en
waterway through tunnel,en
waterway tunnel,en
watt,en
wattHour,en
wavelength (μ),en
weapon,en
webcast,en
website,en
weight (g),en
weight (kg),en
west place,en
westAfricanCfaFranc,en
wha draft,en
wha draft team,en
wha draft year,en
wheelbase (mm),en
wheelbase (μ),en
whole area,en
width (mm),en
width (μ),en
width of runway (μ),en
width quote,en
wilaya,en
wimbledon double,en
wimbledon mixed,en
wimbledon single,en
wine,en
wine produced,en
wine region,en
wine year,en
winery,en
wing area (m2),en
wingspan (μ),en
winning team,en
wins,en
wins at ALPG,en
wins at ASIA,en
wins at AUS,en
wins at JLPGA,en
wins at KLPGA,en
wins at LAGT,en
wins at LET,en
wins at LPGA,en
wins at NWIDE,en
wins at Senior Euro,en
wins at challenges,en
wins at championships,en
wins at japan,en
wins at majors,en
wins at other tournaments,en
wins at pga,en
wins at pro tournaments,en
wins at sun,en
wins in Europe,en
winter appearances,en
winter sport Player,en
winter temperature (K),en
word before the country,en
work,en
work area (m2),en
world,en
world open,en
world team cup,en
world tournament,en
world tournament bronze,en
world tournament gold,en
